Name,Course,Sector,Links
"A-One Pharmacy College, Dasroi",B.Pharma,Private,https://www.careers360.com/colleges/a-one-pharmacy-college-dasroi?icn=college_page&ici=clg_7010_college_listing_tuple
"A1 Global Institute of Engineering and Technology, Prakasam",BE Civil Engineering,Private,https://www.careers360.com/colleges/a1-global-institute-of-engineering-and-technology-prakasam?icn=college_page&ici=clg_5110_college_listing_tuple
"AAEMF's Delight College of Pharmacy, Pune",D.Pharma,Private,https://www.careers360.com/colleges/aaemfs-delight-college-of-pharmacy-pune?icn=college_page&ici=clg_26658_college_listing_tuple
"ABR College of Engineering and Technology, Prakasam",B.Tech Electronics and Telecommunication Engineering,Private,https://www.careers360.com/colleges/abr-college-of-engineering-and-technology-prakasam?icn=college_page&ici=clg_5099_college_listing_tuple
"ABSS Institute of Technology, Meerut",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/abss-institute-of-technology-meerut?icn=college_page&ici=clg_5098_college_listing_tuple
"ACCMAN Business School, Greater Noida",B.Ed,Private,https://www.careers360.com/colleges/accman-business-school-greater-noida?icn=college_page&ici=clg_26273_college_listing_tuple
"ACE College, Tinsukia",B.Com,Private,https://www.careers360.com/colleges/ace-college-tinsukia?icn=college_page&ici=clg_15699_college_listing_tuple
"ACE Engineering College, Ghatkesar",Diploma in Civil Engineering,Private,https://www.careers360.com/colleges/ace-engineering-college-ghatkesar?icn=college_page&ici=clg_5094_college_listing_tuple
"ACE Palakkad - Rajadhani Institute of Science and Technology, Palakkad",Diploma in Electrical Engineering,Private,https://www.careers360.com/colleges/rajadhani-institute-of-science-and-technology-palakkad?icn=college_page&ici=clg_5011_college_listing_tuple
"ACE Palakkad - Rajadhani Institute of Science and Technology, Palakkad",BE Civil Engineering,Private,https://www.careers360.com/colleges/rajadhani-institute-of-science-and-technology-palakkad?icn=college_page&ici=clg_5011_college_listing_tuple
"ACET Nagpur - Anjuman College of Engineering and Technology, Nagpur",B.Tech Mechanical Engineering,Private,https://www.careers360.com/colleges/anjuman-college-of-engineering-and-technology-nagpur?icn=college_page&ici=clg_4992_college_listing_tuple
"ACET Pondicherry - Achariya College of Engineering Technology, Puducherry",BE Civil Engineering,Private,https://www.careers360.com/colleges/achariya-college-of-engineering-technology-puducherry?icn=college_page&ici=clg_5093_college_listing_tuple
"ACP Aligarh - Aligarh College of Pharmacy, Aligarh",B.Pharma,Private,https://www.careers360.com/colleges/aligarh-college-of-pharmacy-aligarh?icn=college_page&ici=clg_6671_college_listing_tuple
"ACT College of Engineering and Technology, Kancheepuram",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/colleges/act-college-of-engineering-and-technology-kancheepuram?icn=college_page&ici=clg_5121_college_listing_tuple
"AEC Agra - Anand Engineering College, Agra",B.Tech Civil Engineering,Private,https://www.careers360.com/colleges/anand-engineering-college-agra?icn=college_page&ici=clg_5003_college_listing_tuple
"AEC Agra - Anand Engineering College, Agra",B.Tech Civil Engineering,Private,https://www.careers360.com/colleges/anand-engineering-college-agra?icn=college_page&ici=clg_5003_college_listing_tuple
"AECS Pavan Polytechnic, Kolar",Diploma in Automobile Engineering,Private,https://www.careers360.com/colleges/aecs-pavan-polytechnic-kolar?icn=college_page&ici=clg_17645_college_listing_tuple
"AET College of Education, Swarnasandra",B.Ed,Private,https://www.careers360.com/colleges/aet-college-of-education-swarnasandra?icn=college_page&ici=clg_20517_college_listing_tuple
"AG Teachers College, Ahmedabad",BHMCT,Private,https://www.careers360.com/colleges/ag-teachers-college-ahmedabad?icn=college_page&ici=clg_5734_college_listing_tuple
"AGM Rural College of Engineering and Technology, Hubli",B.Tech Electrical Engineering,Private,https://www.careers360.com/colleges/agm-rural-college-of-engineering-and-technology-hubli?icn=college_page&ici=clg_5120_college_listing_tuple
"AIHS Bangalore - Acharya Institute of Health Sciences, Bangalore",M.Sc Electric Media,Private,https://www.careers360.com/colleges/acharya-institute-of-health-sciences-bangalore?icn=college_page&ici=clg_20483_college_listing_tuple
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,MBBS,Public/Govt,https://www.careers360.com/university/all-india-institute-of-medical-sciences-new-delhi?icn=college_page&ici=clg_588_college_listing_tuple
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,MA Politics with Specialization in International Studies,Public/Govt,https://www.careers360.com/university/all-india-institute-of-medical-sciences-new-delhi?icn=college_page&ici=clg_588_college_listing_tuple
AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur,M.P.Ed,Public/Govt,https://www.careers360.com/university/all-india-institute-of-medical-sciences-jodhpur?icn=college_page&ici=clg_781_college_listing_tuple
AIIMS Rishikesh - All India Institute of Medical Sciences Rishikesh,MBA Integrated,Public/Govt,https://www.careers360.com/university/all-india-institute-of-medical-sciences-rishikesh?icn=college_page&ici=clg_785_college_listing_tuple
"AIMS Coimbatore - Akshaya Institute of Management Studies, Coimbatore",B.Com Self Finance,Private,https://www.careers360.com/colleges/akshaya-institute-of-management-studies-coimbatore?icn=college_page&ici=clg_7387_college_listing_tuple
"AIMS Coimbatore - Akshaya Institute of Management Studies, Coimbatore",B.Tech Electronics and Communication Engineering,Private,https://www.careers360.com/colleges/akshaya-institute-of-management-studies-coimbatore?icn=college_page&ici=clg_7387_college_listing_tuple
"AIMS Institutes, Bangalore",B.Com,Private,https://www.careers360.com/colleges/aims-institutes-bangalore?icn=college_page&ici=clg_5412_college_listing_tuple
"AIMS Thrissur - Amala institute of Medical Sciences, Amalanagar",BDS,Private,https://www.careers360.com/colleges/amala-institute-of-medical-sciences-amalanagar?icn=college_page&ici=clg_6308_college_listing_tuple
"AIMT Ambala - Shri Atmanand Jain Institute of Management and Technology, Ambala",MBA,Private,https://www.careers360.com/colleges/shri-atmanand-jain-institute-of-management-and-technology-ambala?icn=college_page&ici=clg_6551_college_listing_tuple
