Name,Rank,Sector,User Rating
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,MBBS,Public/Govt,https://www.careers360.com/university/all-india-institute-of-medical-sciences-new-delhi?icn=college_page&ici=clg_588_college_listing_tuple
AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur,MBA,Public/Govt,https://www.careers360.com/university/all-india-institute-of-medical-sciences-jodhpur?icn=college_page&ici=clg_781_college_listing_tuple
AIIMS Rishikesh - All India Institute of Medical Sciences Rishikesh,B.Tech Mechanical Engineering,Public/Govt,https://www.careers360.com/university/all-india-institute-of-medical-sciences-rishikesh?icn=college_page&ici=clg_785_college_listing_tuple
"AMU Aligarh - Aligarh Muslim University, Aligarh",B.Com Hons,Public/Govt,https://www.careers360.com/university/aligarh-muslim-university-aligarh?icn=college_page&ici=clg_545_college_listing_tuple
"Alagappa University - Alagappa University, Karaikudi",MBBS,Public/Govt,https://www.careers360.com/university/alagappa-university-karaikudi?icn=college_page&ici=clg_699_college_listing_tuple
"Alamuri Ratnamala Institute of Engineering and Technology, Thane",B.Tech Computer Engineering,Private,https://www.careers360.com/colleges/alamuri-ratnamala-institute-of-engineering-and-technology-thane?icn=college_page&ici=clg_3972_college_listing_tuple
"Amity University, Noida",MBA Data Science And Artificial Intelligence,Private,https://www.careers360.com/university/amity-university-noida?icn=college_page&ici=clg_729_college_listing_tuple
"Amrita Vishwa Vidyapeetham, Coimbatore",MBA,Private,https://www.careers360.com/university/amrita-vishwa-vidyapeetham-coimbatore?icn=college_page&ici=clg_724_college_listing_tuple
"Andhra University, Visakhapatnam",B.Tech Computer Science and Engineering,Public/Govt,https://www.careers360.com/university/andhra-university-visakhapatnam?icn=college_page&ici=clg_262_college_listing_tuple
"Anna University, Chennai",MBA Business Analytics,Public/Govt,https://www.careers360.com/university/anna-university-chennai?icn=college_page&ici=clg_743_college_listing_tuple
"Apeejay Institute of Technology, School of Architecture and Planning, Greater Noida",M.Sc Electronic Media Integrated,Private,https://www.careers360.com/colleges/apeejay-institute-of-technology-school-of-architecture-and-planning-greater-noida?icn=college_page&ici=clg_2419_college_listing_tuple
"Ashoka University, Sonepat",BA LLB,Private,https://www.careers360.com/university/ashoka-university-sonepat?icn=college_page&ici=clg_1315_college_listing_tuple
"Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",Post Graduate Diploma in Industrial Management,Private,https://www.careers360.com/university/avinashilingam-institute-for-home-science-and-higher-education-for-women-coimbatore?icn=college_page&ici=clg_453_college_listing_tuple
"BAMU Aurangabad - Dr Babasaheb Ambedkar Marathwada University, Aurangabad",M.Ed,Public/Govt,https://www.careers360.com/university/dr-babasaheb-ambedkar-marathwada-university-aurangabad?icn=college_page&ici=clg_310_college_listing_tuple
"BBAU Lucknow - Babasaheb Bhimrao Ambedkar University, Lucknow",PGPM,Public/Govt,https://www.careers360.com/university/babasaheb-bhimrao-ambedkar-university-lucknow?icn=college_page&ici=clg_661_college_listing_tuple
"BELHE Pune - Samarth Group of Institutions, Pune",BE Artificial Intelligence and Data Science,Private,https://www.careers360.com/colleges/samarth-group-of-institutions-pune?icn=college_page&ici=clg_3289_college_listing_tuple
"BFUHS Faridkot - Baba Farid University of Health Sciences, Faridkot",Bachelor of Architecture,Public/Govt,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot?icn=college_page&ici=clg_939_college_listing_tuple
"BHU Varanasi - Banaras Hindu University, Varanasi",BA Hons,Public/Govt,https://www.careers360.com/university/banaras-hindu-university-varanasi?icn=college_page&ici=clg_875_college_listing_tuple
"BITS Pilani - Birla Institute of Technology and Science, Pilani",B.Pharma Hons,Private,https://www.careers360.com/university/birla-institute-of-technology-and-science-pilani?icn=college_page&ici=clg_544_college_listing_tuple
"Banasthali Vidyapith, Banasthali",M.P.Ed,Private,https://www.careers360.com/university/banasthali-vidyapith-banasthali?icn=college_page&ici=clg_732_college_listing_tuple
"Bangalore University - Bangalore University, Bangalore",MA Human Resource Management and Labour Relations,Public/Govt,https://www.careers360.com/university/bangalore-university-bangalore?icn=college_page&ici=clg_888_college_listing_tuple
"Bharath Institute of Higher Education and Research, Chennai",BE Computer Science and Engineering,Private,https://www.careers360.com/university/bharath-institute-of-higher-education-and-research-chennai?icn=college_page&ici=clg_564_college_listing_tuple
"Bharathiar University - Bharathiar University, Coimbatore",B.P.Ed,Public/Govt,https://www.careers360.com/university/bharathiar-university-coimbatore?icn=college_page&ici=clg_589_college_listing_tuple
"Bharathidasan University - Bharathidasan University, Tiruchirappalli",B.Sc Allied Health Sciences Hons,Public/Govt,https://www.careers360.com/university/bharathidasan-university-tiruchirappalli?icn=college_page&ici=clg_885_college_listing_tuple
"Bharati Vidyapeeth, Pune",B.Ed,Private,https://www.careers360.com/university/bharati-vidyapeeth-pune?icn=college_page&ici=clg_726_college_listing_tuple
"Bimla Devi Educational Societys Group of Institutions, JB Knowledge Park, Faridabad",B.Tech Man Made Fiber Technology,Private,https://www.careers360.com/colleges/bimla-devi-educational-societys-group-of-institutions-jb-knowledge-park-faridabad?icn=college_page&ici=clg_2482_college_listing_tuple
"Bimla Devi Educational Societys Group of Institutions, JB Knowledge Park, Faridabad",B.Tech Civil Engineering,Private,https://www.careers360.com/colleges/bimla-devi-educational-societys-group-of-institutions-jb-knowledge-park-faridabad?icn=college_page&ici=clg_2482_college_listing_tuple
"Birla Institute of Technology, Mesra (BIT Mesra) - Birla Institute of Technology, Mesra",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/university/birla-institute-of-technology-mesra?icn=college_page&ici=clg_250_college_listing_tuple
"COEP Pune - COEP Technological University, Pune",MBA Integrated,Public/Govt,https://www.careers360.com/colleges/coep-technological-university-pune?icn=college_page&ici=clg_4635_college_listing_tuple
"CUSAT Kochi - Cochin University of Science and Technology, Kochi",Diploma in Arabic,Public/Govt,https://www.careers360.com/university/cochin-university-of-science-and-technology-kochi?icn=college_page&ici=clg_812_college_listing_tuple
